age,income,credit_score,debt_ratio,employment_years,Default_Status
61,90885.67622226925,593.4566247829864,0.10502629013482508,14,No Default
25,88182.56871617869,693.7692041585713,0.11988687833744471,6,No Default
30,54210.46097852636,726.0085875789114,0.015805249814972708,17,No Default
20,20780.752317756178,703.880099204673,0.5150232969153493,1,Default
20,69033.26075630225,741.9051284071091,0.18882436048591755,9,No Default
75,54099.623826091825,795.2700091442002,0.42116929059240704,10,No Default
72,36913.676628250454,520.8845141604128,0.8057081491406959,9,Default
46,64363.318850606905,686.735075819927,0.34700287211756276,3,No Default
32,131608.3192960575,683.0231115316316,0.7439910946749423,4,No Default
51,80080.76026059932,712.32654460253,0.21622429451203046,23,No Default
50,70311.85286625563,709.4298061056782,0.14576832069732865,15,No Default
57,28548.63608418058,671.8712439157363,0.3274417818895957,1,Default
46,70193.28652067108,602.1519831504756,0.27296071512088116,0,No Default
30,16775.80801081367,491.11215405737414,0.5098962435925491,14,Default
59,24452.223482179965,593.1784951861612,0.6482023358510015,7,Default
34,105588.77418211485,704.5226427276713,0.2159605099461658,18,No Default
39,93588.11292853043,783.3297860828994,0.5092702487207689,11,No Default
41,45334.74379044827,677.1400715934551,0.15283075100758198,14,No Default
49,18434.518251562105,719.3056244844852,0.23291273608285787,3,No Default
27,76583.29895050253,784.2822993712102,0.2699682484140936,7,No Default
74,67046.45377683821,715.0682243990907,0.34766983274966906,6,Default
52,91452.68290177057,433.54960661879346,0.5936431015903976,10,Default
27,65187.19236001644,534.1198264732348,0.4595965913420007,0,Default
32,25656.990172178244,548.1874945347272,0.6618309002380026,2,Default
35,79103.08451991886,724.5809187868499,0.3642992755175106,6,No Default
49,24935.758299262125,486.55699856123056,0.6751971710839044,0,Default
46,51301.745141561056,721.3410042227,0.3404691778051116,13,No Default
42,91854.52744079083,700.4595206452175,0.2755894895104155,8,No Default
20,81747.81919107807,794.0612415013378,0.2242339380264493,10,No Default
41,68632.36368679871,720.1239449273119,0.1585095012497154,6,No Default
31,91844.4151873961,764.2262276524449,0.3109337878181663,22,No Default
50,39281.65364921349,577.5693901705044,0.9416175097878315,15,Default
66,87688.85603512773,678.3309797657788,0.24248846051159384,2,No Default
50,110190.79413894177,721.3086375255662,0.1553923084958349,14,No Default
40,37703.90914731707,691.9580206857995,0.16860252660594666,9,No Default
39,93729.40921032039,707.8708784673673,0.2770256736877457,4,No Default
42,70626.01830710615,804.3545558371676,0.18254196494465974,7,No Default
51,50108.715531937734,468.5495998951015,0.5655401400928382,11,Default
51,60106.73958025648,583.6205352103404,0.4728056816472483,13,Default
42,38376.255915481095,632.6717049233091,0.1079320888567541,25,No Default
54,64572.87730562078,540.5298070847233,0.7842907543372697,8,Default
54,57795.63546812297,675.0621885328006,0.2827082120416067,6,No Default
41,14419.869975303285,685.6697011658912,0.42057496165165603,3,Default
64,61688.229573018885,629.7572031492069,0.7428454026985065,10,Default
26,41963.39710119702,655.9747484824771,0.7099281608266313,10,Default
45,44647.744406878504,571.9398156189512,-0.027765701453222994,7,No Default
58,60706.42637721167,705.106747858346,0.4064283181869154,0,No Default
31,123682.19352682597,632.3965514168158,0.11679551533586431,2,No Default
54,17688.039933348526,714.6950762401599,0.2905766303369862,12,Default
52,61678.41031889849,622.8577626612233,0.33240682249618336,4,No Default
22,105089.64700824041,681.4728741597015,0.35156601825081496,14,No Default
43,65607.3243787623,705.2501112175652,0.48123795788210955,16,No Default
